Symbol,Type,Entry Time,Exit Time,Lot Size,Net Credit (₹),Exit Reason,PnL (₹)
NIFTY,CE_SPREAD,2026-07-20 10:36:00,2026-07-21 09:45:00,1,23.45,Target Hit (50% Premium Decay),11.95
NIFTY,CE_SPREAD,2026-07-20 10:39:00,2026-07-21 09:54:00,1,22.8,Target Hit (50% Premium Decay),11.75
NIFTY,CE_SPREAD,2026-07-20 10:42:00,2026-07-21 09:45:00,1,23.2,Target Hit (50% Premium Decay),11.7
NIFTY,CE_SPREAD,2026-07-20 10:54:00,2026-07-21 09:45:00,1,23.7,Target Hit (50% Premium Decay),12.2
NIFTY,CE_SPREAD,2026-07-20 11:03:00,2026-07-21 09:54:00,1,22.6,Target Hit (50% Premium Decay),11.55
NIFTY,CE_SPREAD,2026-07-20 11:06:00,2026-07-20 12:45:00,1,26.1,Target Hit (50% Premium Decay),13.95
NIFTY,CE_SPREAD,2026-07-20 11:12:00,2026-07-21 09:54:00,1,22.5,Target Hit (50% Premium Decay),11.45
NIFTY,CE_SPREAD,2026-07-20 11:15:00,2026-07-21 09:54:00,1,23.0,Target Hit (50% Premium Decay),11.95
NIFTY,CE_SPREAD,2026-07-20 11:24:00,2026-07-21 09:54:00,1,22.65,Target Hit (50% Premium Decay),11.6
NIFTY,CE_SPREAD,2026-07-20 11:30:00,2026-07-20 13:57:00,1,21.2,SL Hit (50% Premium Appreciation),-11.65
NIFTY,CE_SPREAD,2026-07-20 11:39:00,2026-07-20 13:45:00,1,20.75,SL Hit (50% Premium Appreciation),-11.05
NIFTY,CE_SPREAD,2026-07-20 11:42:00,2026-07-20 13:24:00,1,19.25,SL Hit (50% Premium Appreciation),-10.0
NIFTY,CE_SPREAD,2026-07-20 11:45:00,2026-07-20 13:21:00,1,18.8,SL Hit (50% Premium Appreciation),-9.6
NIFTY,CE_SPREAD,2026-07-20 12:15:00,2026-07-20 13:24:00,1,19.15,SL Hit (50% Premium Appreciation),-10.1
NIFTY,CE_SPREAD,2026-07-20 12:24:00,2026-07-20 13:12:00,1,16.45,SL Hit (50% Premium Appreciation),-8.9
NIFTY,CE_SPREAD,2026-07-20 12:36:00,2026-07-20 13:12:00,1,21.6,SL Hit (50% Premium Appreciation),-12.95
NIFTY,CE_SPREAD,2026-07-20 12:45:00,2026-07-20 13:12:00,1,18.0,SL Hit (50% Premium Appreciation),-16.55
NIFTY,CE_SPREAD,2026-07-20 12:54:00,2026-07-20 13:12:00,1,22.65,SL Hit (50% Premium Appreciation),-11.9
NIFTY,CE_SPREAD,2026-07-20 13:45:00,2026-07-21 09:15:00,1,22.65,Target Hit (50% Premium Decay),12.9
NIFTY,CE_SPREAD,2026-07-20 13:54:00,2026-07-21 09:15:00,1,21.9,Target Hit (50% Premium Decay),12.15
NIFTY,CE_SPREAD,2026-07-21 11:18:00,2026-07-21 12:45:00,1,4.25,Target Hit (50% Premium Decay),2.25
NIFTY,CE_SPREAD,2026-07-21 11:21:00,2026-07-21 12:51:00,1,3.8,Target Hit (50% Premium Decay),2.1
NIFTY,CE_SPREAD,2026-07-21 11:24:00,2026-07-21 12:51:00,1,3.75,Target Hit (50% Premium Decay),2.05
NIFTY,CE_SPREAD,2026-07-21 11:27:00,2026-07-21 12:57:00,1,3.35,Target Hit (50% Premium Decay),2.0
