Symbol,Contract,Type,Entry Time,Exit Time,Duration,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-14 09:18:00,2026-08-17 09:21:00,3 days 00:03:00,126,24300.0 / 24400.0,65,51.75,6500.0,Time Stop (Max 3 Days Hit),689.0,10.6
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-14 10:15:00,2026-08-17 10:15:00,3 days 00:00:00,125,24350.0 / 24450.0,65,46.1,6500.0,Target Hit (50% Premium Decay),1647.75,25.35
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-14 10:21:00,2026-08-17 10:15:00,2 days 23:54:00,123,24350.0 / 24450.0,65,45.05,6500.0,Target Hit (50% Premium Decay),1579.5,24.3
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-17 09:57:00,2026-08-17 15:27:00,0 days 05:30:00,110,24300.0 / 24400.0,65,34.45,6500.0,Monday Pre-Expiry Auto Square-Off,-1131.0,-17.4
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-17 10:12:00,2026-08-17 15:27:00,0 days 05:15:00,105,24300.0 / 24400.0,65,35.05,6500.0,Monday Pre-Expiry Auto Square-Off,-1092.0,-16.8
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-17 11:00:00,2026-08-17 15:27:00,0 days 04:27:00,89,24250.0 / 24350.0,65,40.35,6500.0,Monday Pre-Expiry Auto Square-Off,-1631.5,-25.1
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-18 10:03:00,2026-08-18 14:24:00,0 days 04:21:00,87,24200.0 / 24300.0,65,40.55,6500.0,Target Hit (50% Premium Decay),1381.25,21.25
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-18 10:42:00,2026-08-18 15:12:00,0 days 04:30:00,90,24200.0 / 24300.0,65,35.85,6500.0,Target Hit (50% Premium Decay),1287.0,19.8
NIFTY,NIFTY SPOT,CE_SPREAD,2026-08-18 10:45:00,2026-08-18 15:18:00,0 days 04:33:00,91,24200.0 / 24300.0,65,29.8,6500.0,Target Hit (50% Premium Decay),1010.75,15.55
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-14 10:21:00,2026-08-17 10:24:00,3 days 00:03:00,126,77800.0 / 78000.0,20,107.65,4000.0,Time Stop (Max 3 Days Hit),587.0,14.67
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-14 11:00:00,2026-08-17 11:03:00,3 days 00:03:00,126,77700.0 / 77900.0,20,108.05,4000.0,Time Stop (Max 3 Days Hit),493.0,12.33
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-14 11:09:00,2026-08-17 11:12:00,3 days 00:03:00,126,77700.0 / 77900.0,20,108.9,4000.0,Time Stop (Max 3 Days Hit),508.0,12.7
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-17 09:54:00,2026-08-17 15:27:00,0 days 05:33:00,111,77700.0 / 77900.0,20,96.7,4000.0,Monday Pre-Expiry Auto Square-Off,-442.0,-11.05
SENSEX,SENSEX SPOT,PE_SPREAD,2026-08-17 14:42:00,2026-08-17 15:27:00,0 days 00:45:00,15,77800.0 / 77600.0,20,68.25,4000.0,Monday Pre-Expiry Auto Square-Off,-35.0,-0.88
SENSEX,SENSEX SPOT,PE_SPREAD,2026-08-17 14:51:00,2026-08-17 15:27:00,0 days 00:36:00,12,77900.0 / 77700.0,20,76.35,4000.0,Monday Pre-Expiry Auto Square-Off,-122.0,-3.05
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-18 10:42:00,2026-08-18 15:27:00,0 days 04:45:00,95,77400.0 / 77600.0,20,95.0,4000.0,Data Ended,50.0,1.25
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-18 10:45:00,2026-08-18 15:27:00,0 days 04:42:00,94,77400.0 / 77600.0,20,87.45,4000.0,Data Ended,-101.0,-2.52
SENSEX,SENSEX SPOT,CE_SPREAD,2026-08-18 11:54:00,2026-08-18 15:27:00,0 days 03:33:00,71,77400.0 / 77600.0,20,87.95,4000.0,Data Ended,-91.0,-2.28
