Symbol,Entry Time,Exit Time,Lot Size,Net Credit (₹),Exit Reason,PnL (₹)
NIFTY,2025-10-23 11:00:00,2025-10-23 11:05:00,1,20.35,Close > Supertrend,-0.8
NIFTY,2025-12-22 11:25:00,2025-12-22 11:30:00,1,10.65,Close > Supertrend,0.05
NIFTY,2026-02-25 11:30:00,2026-02-25 11:35:00,1,24.45,Close > Supertrend,0.35
NIFTY,2026-04-15 11:45:00,2026-04-15 11:50:00,1,32.6,Close > Supertrend,0.5
NIFTY,2026-07-15 11:10:00,2026-07-15 11:15:00,1,35.65,Close > Supertrend,0.9
SENSEX,2025-10-07 11:10:00,2025-10-07 11:15:00,1,52.95,Close > Supertrend,-1.75
SENSEX,2025-10-23 11:00:00,2025-10-23 11:05:00,1,23.5,Close > Supertrend,-6.1
SENSEX,2026-02-10 11:35:00,2026-02-10 11:40:00,1,64.1,Close > Supertrend,-1.25
SENSEX,2026-02-10 11:55:00,2026-02-10 12:00:00,1,61.4,Close > Supertrend,-0.6
SENSEX,2026-02-25 11:10:00,2026-02-25 11:15:00,1,54.9,Close > Supertrend,-2.55
SENSEX,2026-04-08 12:05:00,2026-04-08 12:10:00,1,64.05,Close > Supertrend,-1.75
SENSEX,2026-04-15 11:50:00,2026-04-15 13:00:00,1,70.1,RSI Crossed Above 50,-3.2
SENSEX,2026-06-12 10:55:00,2026-06-12 11:00:00,1,73.8,Close > Supertrend,-2.45
