Symbol,Signal,Type,Entry Time,Exit Time,Bars in Trade,Strike Pair,Lot Size,Net Credit (₹),Capital Employed (₹),Exit Reason,PnL (₹),PnL (%)
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-07-20 13:30:00,2026-08-14 15:39:00,2455,24350.0 / 24250.0,65,61.25,6500.0,Data Ended,-2528.5,-38.9
NIFTY,Hidden Bear (LH/HH),CE_SPREAD,2026-07-22 09:30:00,2026-07-23 12:24:00,183,24150.0 / 24250.0,65,34.6,6500.0,Target Hit (50% Premium Decay),1137.5,17.5
NIFTY,Regular Bull (LL/HL),PE_SPREAD,2026-07-22 13:15:00,2026-08-14 15:39:00,2210,24050.0 / 23950.0,65,52.75,6500.0,Data Ended,-747.5,-11.5
NIFTY,Hidden Bear (LH/HH),CE_SPREAD,2026-07-22 14:15:00,2026-07-23 14:48:00,136,24050.0 / 24150.0,65,36.8,6500.0,Target Hit (50% Premium Decay),1209.0,18.6
NIFTY,Hidden Bear (LH/HH),CE_SPREAD,2026-07-23 09:45:00,2026-07-24 09:15:00,115,24000.0 / 24100.0,65,33.45,6500.0,Target Hit (50% Premium Decay),1173.25,18.05
NIFTY,Hidden Bear (LH/HH),CE_SPREAD,2026-07-23 11:00:00,2026-07-23 14:48:00,76,24050.0 / 24150.0,65,36.55,6500.0,Target Hit (50% Premium Decay),1192.75,18.35
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-23 11:45:00,2026-07-24 09:15:00,75,24000.0 / 24100.0,65,37.1,6500.0,Target Hit (50% Premium Decay),1410.5,21.7
NIFTY,Hidden Bear (LH/HH),CE_SPREAD,2026-07-24 13:30:00,2026-07-27 14:03:00,136,23850.0 / 23950.0,65,36.85,6500.0,SL Hit (100% Premium Appreciation),-2440.75,-37.55
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-24 14:45:00,2026-07-27 14:03:00,111,23850.0 / 23950.0,65,37.2,6500.0,SL Hit (100% Premium Appreciation),-2418.0,-37.2
NIFTY,Hidden Bull (HL/LL),PE_SPREAD,2026-07-27 13:15:00,2026-08-14 15:39:00,1835,24050.0 / 23950.0,65,52.3,6500.0,Data Ended,-776.75,-11.95
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-27 14:00:00,2026-07-28 10:03:00,46,24050.0 / 24150.0,65,23.2,6500.0,Target Hit (50% Premium Decay),906.75,13.95
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 11:45:00,2026-08-03 09:15:00,325,24300.0 / 24400.0,65,38.75,6500.0,SL Hit (100% Premium Appreciation),-3259.1,-50.14
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 12:45:00,2026-08-03 09:15:00,305,24300.0 / 24400.0,65,37.3,6500.0,SL Hit (100% Premium Appreciation),-3353.35,-51.59
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 14:00:00,2026-08-03 09:15:00,280,24300.0 / 24400.0,65,41.65,6500.0,SL Hit (100% Premium Appreciation),-3070.6,-47.24
NIFTY,Regular Bear (HH/LH),CE_SPREAD,2026-07-29 15:15:00,2026-08-03 09:15:00,255,24300.0 / 24400.0,65,38.9,6500.0,SL Hit (100% Premium Appreciation),-3249.35,-49.99
NIFTY,Hidden Bull (HL/LL),PE_SPREAD,2026-07-30 11:15:00,2026-07-31 12:42:00,154,24300.0 / 24200.0,65,46.45,6500.0,Target Hit (50% Premium Decay),1540.5,23.7
