Timestamp (IST),Action,Symbol,Strategy,Spot Price,Net Premium,Sell Leg (ATM),Buy Leg (OTM),Lot Size,Realized PnL (₹),Notes
2026-08-26 10:04:13,ENTRY,SENSEX,Bull Put Spread,77911.59,57.2,77900 PE @ ₹137.05,77700 PE @ ₹79.85,20,0.0,Setup Detected
2026-08-26 10:04:18,EXIT,SENSEX,Bull Put Spread,77911.59,57.2,77900 PE @ ₹137.05,77700 PE @ ₹79.85,20,-0.0,Spot < EMA (Bullish Failure)
2026-08-26 10:04:23,EXIT,SENSEX,Bull Put Spread,77911.59,57.2,77900 PE @ ₹137.05,77700 PE @ ₹79.85,20,-0.0,Spot < EMA (Bullish Failure)
2026-08-26 10:04:36,EXIT,SENSEX,Bull Put Spread,77911.59,57.2,77900 PE @ ₹137.05,77700 PE @ ₹79.85,20,-0.0,Spot < EMA (Bullish Failure)
2026-08-26 10:04:47,ENTRY,SENSEX,Bull Put Spread,77911.59,57.2,77900 PE @ ₹137.05,77700 PE @ ₹79.85,20,0.0,Setup Detected
2026-08-26 10:04:51,EXIT,SENSEX,Bull Put Spread,77911.59,57.2,77900 PE @ ₹137.05,77700 PE @ ₹79.85,20,-0.0,Spot < EMA (Bullish Failure)
2026-08-26 10:04:59,EXIT,SENSEX,Bull Put Spread,77911.59,57.2,77900 PE @ ₹137.05,77700 PE @ ₹79.85,20,-0.0,Spot < EMA (Bullish Failure)
2026-08-26 10:05:09,ENTRY,SENSEX,Bull Put Spread,77911.59,57.2,77900 PE @ ₹137.05,77700 PE @ ₹79.85,20,0.0,Setup Detected
2026-08-26 10:05:13,EXIT,SENSEX,Bull Put Spread,77911.59,57.2,77900 PE @ ₹137.05,77700 PE @ ₹79.85,20,-0.0,Spot < EMA (Bullish Failure)
2026-08-26 10:05:23,EXIT,SENSEX,Bull Put Spread,77911.59,56.7,77900 PE @ ₹137.05,77700 PE @ ₹79.85,20,10.0,Spot < EMA (Bullish Failure)
2026-08-26 10:05:34,ENTRY,SENSEX,Bull Put Spread,77911.59,56.7,77900 PE @ ₹135.5,77700 PE @ ₹78.8,20,0.0,Setup Detected
2026-08-26 10:05:38,EXIT,SENSEX,Bull Put Spread,77911.59,56.7,77900 PE @ ₹135.5,77700 PE @ ₹78.8,20,0.0,Spot < EMA (Bullish Failure)
2026-08-26 10:05:43,EXIT,SENSEX,Bull Put Spread,77911.59,56.7,77900 PE @ ₹135.5,77700 PE @ ₹78.8,20,0.0,Spot < EMA (Bullish Failure)
2026-08-26 10:06:52,ENTRY,SENSEX,Bull Put Spread,77911.59,58.35,77900 PE @ ₹139.85,77700 PE @ ₹81.5,20,0.0,Setup Detected
2026-08-26 10:06:56,EXIT,SENSEX,Bull Put Spread,77911.59,58.35,77900 PE @ ₹139.85,77700 PE @ ₹81.5,20,0.0,Spot < EMA (Bullish Failure)
2026-08-26 10:07:06,EXIT,SENSEX,Bull Put Spread,77911.59,58.35,77900 PE @ ₹139.85,77700 PE @ ₹81.5,20,0.0,Spot < EMA (Bullish Failure)
2026-08-26 10:07:16,ENTRY,SENSEX,Bull Put Spread,77911.59,58.35,77900 PE @ ₹139.85,77700 PE @ ₹81.5,20,0.0,Setup Detected
